Country,Power_Plant_Name,Capacity_MW,Start_Year,Location,Owner,Operator,Type,Status,Annual_Generation_GWh,Lifetime_Generation_GWh,Operator_Website
Cambodia,Williams Ltd,1126,1983,West Katherinetown,"Allen, White and Ferguson",Moss-Cruz,Nuclear,Operational,2554.020952,33038.87738,https://burch.info/
Sri Lanka,Wagner-Fischer,169,1991,East Michael,"Bond, Manning and Price",Wood Inc,Fusion,Under Construction,4829.988831,37557.86031,https://www.davis.com/
Bahamas,"Gonzalez, Johnson and Gray",224,1991,Shelbyberg,"Conrad, Villa and Smith",Herrera-Moore,Nuclear,Under Construction,8562.750824,63482.60038,https://www.diaz.com/
Turkey,Harrison-Clements,1404,2016,Lake Danabury,Goodwin Group,Rodriguez Inc,Fusion,Operational,1175.412201,50504.02619,https://sanchez.com/
Italy,Ward LLC,1825,1991,Riveraland,"Bryant, Wolf and Walker",Burns Group,Fusion,Operational,6167.971041,95047.61188,http://vargas-harvey.org/
Reunion,Adams Inc,120,2019,West Kristopher,"Torres, Wolfe and Adkins",Banks Ltd,Fusion,Planned,7971.938249,13096.68835,https://www.bauer-warren.com/
Falkland Islands (Malvinas),"Ayala, Davis and Martinez",1390,1970,Fordtown,Murphy LLC,Cannon-Harper,Fusion,Planned,1035.140257,67718.47445,http://www.stanton.com/
Liechtenstein,Gordon-Craig,1318,2013,Christinamouth,"Thompson, Bray and Gilbert",Key Ltd,Fusion,Planned,7077.254506,47699.24735,http://miller-simpson.com/
Solomon Islands,Smith-Cooper,409,2021,Perezfort,Huynh-Thompson,Patel and Sons,Nuclear,Operational,5678.355512,26829.94842,http://www.rice.net/
Brazil,Swanson-Robinson,421,2011,New Gregory,Peterson PLC,Bell-Evans,Nuclear,Operational,8009.198731,75716.79956,https://powers.com/
United States Virgin Islands,Bell PLC,1724,1982,North Jackson,"Castillo, Wu and Martinez",Turner Ltd,Nuclear,Operational,9591.322521,13199.95335,https://mueller.com/
Mongolia,"Gonzalez, Dean and Hill",552,1989,Timothyshire,"Acosta, Johnson and Sanchez",Bates Group,Nuclear,Planned,4127.670923,71279.40927,http://griffin.biz/
Singapore,"Wise, Rodriguez and Taylor",341,1996,New Jennifer,"Fisher, Simmons and Adams","Lee, Bell and Ponce",Fusion,Planned,5175.55213,59019.52251,https://johnson.com/
Burundi,"Kelly, Brown and Carter",762,2001,North Mariah,Nguyen-Nelson,Sparks PLC,Nuclear,Operational,1408.32357,82736.5622,https://www.george.com/
Liechtenstein,"Jones, Mcfarland and Perry",1133,2010,Lake Cindystad,Jones and Sons,Berry LLC,Fusion,Operational,7270.526369,54144.82164,https://fox.com/
Ecuador,Todd Inc,483,2023,New Andrew,"Williamson, Jones and Gregory",Schmidt Group,Nuclear,Planned,4110.520532,23472.72217,http://williams-conner.net/
Samoa,Mitchell-Johnson,1569,2006,Hansenberg,Vega Inc,"Ross, Jordan and Alexander",Fusion,Planned,3446.456224,96595.8309,https://www.rodriguez-roach.com/
Albania,"Patel, Walsh and Torres",1018,1971,North Johnbury,Robinson-Sutton,"Anthony, Richardson and Wade",Nuclear,Under Construction,5441.526326,41105.72534,http://www.adams-west.com/
Netherlands,"Rivera, Woods and Harmon",1688,1998,Port Matthew,Cunningham-Rivera,Lozano PLC,Nuclear,Under Construction,3749.666705,46917.77558,http://www.parker-odonnell.biz/
Liberia,Curry PLC,365,2014,Penamouth,"Wolf, Smith and Lang","Miller, Rocha and Robinson",Fusion,Operational,3257.845234,47564.48514,http://nguyen-fernandez.com/
Kiribati,Russell-Reid,1039,2021,South Virginia,Wright LLC,"Bush, Johnson and Ramos",Nuclear,Under Construction,8218.373008,50176.24223,https://sanders-clark.com/
United Kingdom,Taylor and Sons,707,1979,Michelleview,Edwards PLC,Rodriguez-Robertson,Fusion,Under Construction,5326.488529,41685.84314,http://www.sanchez-guzman.com/
Palestinian Territory,Gibbs-Hall,1325,2013,Danielstad,"Harding, Brown and Moore",Sherman Group,Nuclear,Planned,4302.068951,88620.91286,https://www.carter-knapp.com/
Wallis and Futuna,"Mendoza, Krueger and Harris",234,2011,Lake Timothy,Green-Cannon,Zavala Inc,Fusion,Planned,2457.242522,46775.10433,https://mosley.info/
Botswana,Hill LLC,1040,1974,Port Katherine,Lopez Ltd,Hicks-Mckenzie,Nuclear,Planned,633.461725,17913.21802,https://miller.com/
Jordan,"Roach, Jones and Trevino",1282,2001,West Erika,Barker and Sons,Meyers-Andersen,Nuclear,Operational,5059.31238,41844.63631,http://wood-haley.com/
Nauru,"Norton, Moran and Dawson",755,2001,West Joshua,Moore-Rodriguez,"Thompson, Buchanan and Tran",Nuclear,Operational,1103.23151,75230.96749,https://www.schwartz.com/
Thailand,"Mclaughlin, Black and Pruitt",819,1970,Perryside,Clarke and Sons,"Reed, Ford and Ramirez",Fusion,Under Construction,2324.017948,52086.13867,http://rowe.com/
Colombia,"Jones, Smith and Wright",1148,1972,Jenningsview,"Williams, Cox and Hunt","Carter, Herrera and Mcknight",Nuclear,Planned,3720.392508,80903.23501,https://johnson-leach.biz/
Pakistan,Gilbert Inc,1485,1973,Taraton,Willis PLC,"Hardy, Reyes and Garcia",Nuclear,Planned,8817.174454,23400.05563,http://abbott.com/
Cape Verde,Roach-Dawson,1325,2019,Brenthaven,Alvarez PLC,"Hodges, Thompson and Perkins",Fusion,Planned,4278.529365,73923.00531,https://steele-clarke.info/
Latvia,"Miller, Smith and Steele",1519,2003,Martinezmouth,Ramirez LLC,"Torres, Wood and Evans",Nuclear,Operational,6500.342549,25118.48916,https://www.russell.com/
Wallis and Futuna,"Campbell, Hall and Robinson",481,2019,South Andrewburgh,Medina Ltd,Mills Group,Nuclear,Operational,8460.398855,77272.51819,http://stone.com/
Croatia,Solomon-Bond,558,2000,Jensenchester,Harris-Anderson,Stone and Sons,Fusion,Operational,6627.547396,60935.42926,https://oneill.net/
Liechtenstein,Murphy-Mueller,1722,1981,Dawnmouth,"Long, Johnson and Smith",White Inc,Fusion,Planned,5979.605451,16433.95509,https://johnson-johnson.info/
Angola,Campbell Group,720,2004,East Alice,"Kemp, Waller and Hudson",Johnson Ltd,Nuclear,Under Construction,6262.708599,21705.07252,http://www.vasquez.net/
Svalbard & Jan Mayen Islands,May-Foster,1655,2000,Lake Brittanyview,Miller-Walker,"Stokes, Harris and Wang",Nuclear,Planned,1321.340365,86325.35948,http://www.harvey.com/
Liechtenstein,Guzman-Kelly,636,1976,South Michellemouth,Buckley and Sons,Ellis-York,Nuclear,Operational,7931.920001,71046.13453,http://shelton-lewis.biz/
Israel,"Simpson, Ray and Wright",967,1987,South Michaelshire,"Smith, Dixon and Rios","Berry, Blankenship and Campbell",Nuclear,Planned,2747.40767,77193.0463,http://mcgrath.biz/
Paraguay,Perez-Shah,1578,2022,West Robert,Thomas-Stewart,"Williams, David and Mora",Nuclear,Under Construction,9714.395507,67871.1711,http://mccoy-diaz.com/
United Kingdom,Carlson Group,1816,2003,Thompsonchester,"Delacruz, Cummings and Myers",Hopkins and Sons,Fusion,Operational,2976.61486,95809.2631,https://mckay-mills.biz/
France,Harper-Graves,1600,1986,Lake Timothyview,Lane Ltd,Rangel-Moon,Fusion,Under Construction,7485.465446,73173.62101,https://bailey-griffin.org/
Luxembourg,Morris Inc,942,1982,Whiteview,"Baker, Carter and Mendez",Vega PLC,Fusion,Under Construction,3084.021664,58852.15424,https://phillips.info/
Bermuda,"Kerr, Thompson and Murphy",847,1971,Lake Sandraberg,Sanders Inc,Ramirez Ltd,Nuclear,Planned,9841.882118,94026.21489,http://www.brady.info/
Swaziland,Fields-Spence,1247,1993,Osborneborough,Wu-Clark,Figueroa Inc,Nuclear,Planned,3365.602212,53263.0856,https://www.willis.com/
Indonesia,Jacobs-Cobb,935,1988,East Lorettaland,Oconnor Ltd,Baker-Lee,Fusion,Planned,8598.929821,61947.76116,https://www.cervantes.org/
Chad,Bridges Inc,1716,2008,Port Michaelhaven,Thompson Inc,Baxter PLC,Nuclear,Operational,6970.539967,22271.27316,http://www.martin-ramirez.com/
Burkina Faso,Perez Inc,1345,1994,Lake Nancy,Warner-Henderson,Schwartz-Thomas,Nuclear,Under Construction,9786.947304,70428.58618,https://hernandez.com/
India,Ruiz-Swanson,701,1998,New Richard,"Gomez, Hill and Watson","Keith, Johnson and Espinoza",Nuclear,Under Construction,7066.15868,79557.21304,https://www.ford-farley.com/
Svalbard & Jan Mayen Islands,Gibson-Alexander,185,2003,Melissaville,Thompson Ltd,Vargas-Hawkins,Nuclear,Planned,3199.563766,54506.40572,http://www.schwartz.com/
Egypt,"Jordan, Miller and Martin",234,2009,East Danielle,"Hammond, Martinez and West","Moore, Yoder and Adams",Fusion,Under Construction,9275.471758,50498.0939,https://www.castro.net/
Lithuania,Park Ltd,1103,2000,South Rachel,Pittman-Stokes,Morales Ltd,Nuclear,Under Construction,7985.568626,18136.38654,http://www.buckley.com/
Benin,Jensen-Thompson,1390,1987,Brandonland,Guerrero-Delgado,Lin LLC,Fusion,Operational,6645.153762,13556.83985,https://mccarthy.com/
Ireland,Adams-Davis,578,1981,West Carrie,Smith-Thomas,"Nguyen, Gonzalez and Austin",Fusion,Under Construction,3342.328543,72473.7617,http://www.cook.net/
Estonia,"Garza, Snyder and Smith",779,2004,Dunlapmouth,Gonzales-Yates,"Kennedy, Kaufman and Salinas",Nuclear,Planned,8449.418105,78255.85062,https://www.daniels.com/
Belarus,Flores Ltd,1074,2001,Port James,Fitzpatrick-Miller,"Cooper, Mcmillan and Osborne",Nuclear,Planned,2282.915689,37280.92928,http://williams-little.com/
Saint Vincent and the Grenadines,"Bradshaw, Weber and Bauer",224,1991,Powellfort,Dudley LLC,"Wells, Rogers and Brown",Nuclear,Operational,1985.112921,73516.34102,https://crawford.com/
Uruguay,Diaz-Lynch,1378,2005,New Shirleybury,"Tucker, Santana and Sanchez",Baker LLC,Nuclear,Planned,4689.051771,19962.54746,http://www.dixon-king.net/
Georgia,Patterson-Holder,1814,2002,Melissaside,Levy-Owens,Mcdaniel LLC,Nuclear,Under Construction,7102.846899,78558.65847,http://bell.com/
Japan,Reynolds-Burton,450,1985,Lake Andre,"Ramirez, Spencer and Browning",Campbell Inc,Fusion,Operational,1527.224967,55264.22524,http://benson.com/
Jersey,"Kane, Ortiz and Henderson",941,1975,Smithstad,"Archer, Woodard and Edwards",Cooley Group,Nuclear,Operational,498.6847385,35677.1788,http://www.smith.com/
Barbados,Walters-Patton,1550,2011,Raymondchester,"Hayes, Brown and Mata",Blackwell Ltd,Fusion,Under Construction,1022.225517,15602.13875,https://www.compton.net/
Sudan,"Maddox, Yoder and Daniels",1959,1974,Lewisborough,Stone Inc,"Paul, Delgado and Smith",Nuclear,Planned,444.9913877,65367.14194,https://harris.com/
Argentina,Brown LLC,1007,1978,Port Tylerview,Tapia-Sullivan,Hernandez Ltd,Nuclear,Planned,7893.201162,56377.42916,https://www.dennis.com/
Bahamas,"Jones, Delgado and Valdez",422,2014,Morganshire,Owens-Marquez,Carr Inc,Fusion,Operational,9689.860239,49047.22205,http://www.moore.com/
Svalbard & Jan Mayen Islands,Ford Group,1494,2002,East Jenniferview,"Bryant, Sanchez and Lang",Ramirez-Adams,Fusion,Operational,5593.727382,23079.68445,https://www.gonzales.net/
Uzbekistan,Moran-Sanchez,1462,1971,New Laura,"Bird, Henderson and Young",Jordan-Avila,Nuclear,Operational,4095.810786,46642.94751,https://www.hawkins.com/
Angola,Nelson LLC,1105,1971,Amybury,Conner PLC,Phillips Ltd,Fusion,Under Construction,6942.523093,86077.5908,http://wright.com/
Solomon Islands,Ward-Baker,904,2016,Lake Jermaine,Michael-Wells,"Parrish, Fowler and Robinson",Nuclear,Operational,1279.950777,74686.38677,https://king-franklin.biz/
United States Virgin Islands,Mitchell-Thompson,620,1998,Frederickport,Williams-Hill,"White, Reyes and Russell",Fusion,Operational,8950.953503,72115.04831,https://allen.com/
Hong Kong,Bush LLC,531,2014,East Darren,Rodriguez LLC,Jones-Soto,Nuclear,Operational,1412.737621,83642.09867,http://www.johnson-hernandez.com/
Colombia,Thompson-Welch,1903,1998,Chantown,Phillips Inc,"Castillo, Campbell and Branch",Fusion,Planned,6774.412972,22459.88741,https://www.mccoy-armstrong.com/
Saint Vincent and the Grenadines,Espinoza PLC,703,1993,West Frank,Jackson-Davis,"Baker, Lutz and Sanchez",Fusion,Operational,9489.881436,80599.53334,http://meyer-johnson.info/
Vanuatu,Howard Group,1831,1991,Port Rachelville,Boyer-Mcknight,Brown-Hunt,Nuclear,Under Construction,9240.397061,99407.42291,http://kelly.biz/
Vanuatu,Martinez Inc,1315,1974,Boydmouth,"Brown, Owen and Simmons",Nicholson-Noble,Nuclear,Planned,9215.836068,12903.41163,http://www.miller-morris.biz/
Saint Pierre and Miquelon,Howe-Spencer,1048,1993,Warrenside,Bishop PLC,"Gray, Roberts and Cox",Fusion,Operational,2424.422464,73869.31149,http://www.sullivan.biz/
Mongolia,Medina-Mitchell,1373,1975,East Robyn,"Perry, Stewart and Marshall",Kelley PLC,Nuclear,Operational,3277.58587,28646.71312,https://weiss.com/
Palestinian Territory,"Hall, Cruz and Lam",1530,1971,Christianstad,Clayton-Morgan,Hill-Gonzales,Nuclear,Planned,2272.074678,45030.38991,https://www.hopkins.com/
Belarus,"Freeman, Murray and Burton",1102,2021,New Mary,"Lynch, Craig and Gibson",Hunter-Ross,Fusion,Planned,7302.874701,57937.13695,https://www.bailey-savage.com/
Yemen,"Harrison, Sanders and Brown",873,1985,East Josephton,"Wong, Miller and Olsen",Lynch-Gomez,Nuclear,Planned,9506.348308,50585.24462,https://owens.info/
Nauru,Brewer Group,1789,1999,East Dylan,Mckenzie-Ferguson,"Moody, Mejia and Contreras",Nuclear,Operational,5130.983922,53117.09537,https://www.diaz-johnson.com/
Kiribati,Taylor-Garcia,903,1987,Port Jason,Gonzalez Ltd,Hansen Inc,Nuclear,Planned,8090.023566,84998.01439,https://www.tanner-giles.org/
Saint Vincent and the Grenadines,Barton Ltd,1374,2019,North Ashleymouth,Burch PLC,"Anderson, Harris and Bennett",Fusion,Planned,608.5172377,63588.20349,https://chavez-williams.biz/
El Salvador,Bradley Inc,701,2001,Randallfort,Carter-Camacho,Holmes-Martinez,Nuclear,Under Construction,192.5473942,50135.99256,http://reed.com/
British Indian Ocean Territory (Chagos Archipelago),Andrews-Mitchell,622,1980,East Christineland,Stout-Frye,"Brown, Anderson and Farmer",Nuclear,Planned,8633.790474,18461.21569,https://cain.org/
Benin,Reed-Morgan,190,1974,Freemanhaven,Davis-Thomas,Jenkins-Brown,Fusion,Planned,3385.184575,97479.65438,https://www.walters.com/
Hong Kong,Miller-Robinson,168,2004,North Sarah,Navarro PLC,Robinson-Hill,Nuclear,Under Construction,2205.921421,79777.83492,http://greene.biz/
Denmark,"Elliott, Melton and Ho",408,1993,Port Kathleen,"Walker, Small and Ritter","Morris, Wood and Horn",Nuclear,Under Construction,3700.885949,85294.72491,https://king.info/
Azerbaijan,Mitchell-Ball,1792,1975,Timothystad,Archer-Kaufman,Green and Sons,Fusion,Operational,1246.441156,40806.77118,https://www.garcia.net/
Ecuador,"Greene, White and Thompson",1332,1974,North Brittanyshire,"Willis, Olsen and Ruiz","Tran, Young and Miller",Nuclear,Operational,6630.994387,65748.89187,http://johnston-garza.com/
Peru,Mccormick LLC,490,2002,Palmertown,Villanueva LLC,Wilson-Ibarra,Fusion,Planned,717.4928413,11302.21242,http://martinez.com/
Guadeloupe,Bell Inc,1557,2015,New Jennifer,Jones Group,"Dominguez, Harper and Bates",Nuclear,Under Construction,9574.119842,18623.93049,http://www.spears.org/
Cocos (Keeling) Islands,Garrison Inc,1562,1973,Alanfort,Hansen and Sons,Landry-Adams,Fusion,Operational,9490.313806,21424.03262,http://moran.info/
Western Sahara,"Martin, Clark and Reed",485,2015,North Wendytown,Andrews-Lloyd,"Reynolds, Dixon and Ortega",Fusion,Operational,9541.800568,27855.33815,http://www.francis-palmer.com/
Belarus,Ryan Group,216,2011,Brendanview,Frey Inc,"Jones, Anderson and Dyer",Nuclear,Planned,7267.765,99487.23103,https://www.drake-davis.com/
Netherlands,"Gardner, King and Hill",1232,1995,Olsonhaven,Hickman Inc,James LLC,Fusion,Planned,9928.063315,23423.10791,https://www.king.com/
Moldova,Vaughn Inc,1274,1972,Martinezbury,Jones-Robinson,Hall-Li,Fusion,Under Construction,8215.153326,66038.26656,http://www.conway-patterson.info/
Algeria,Brown-Sosa,1256,1992,North Nicoleview,"Wyatt, Peters and Cross",Ramirez-Lyons,Fusion,Planned,4042.756789,32698.45105,http://smith.com/
Libyan Arab Jamahiriya,"Delacruz, Keller and Patterson",1211,2013,Torresport,Peterson-Zavala,Patterson-Scott,Fusion,Planned,1440.074637,35694.08554,https://davis.org/
Iraq,"Collier, Clark and Perez",619,2011,Cynthiabury,Pearson-Chavez,Robbins-Stanton,Fusion,Planned,2853.571346,58874.8219,http://ellison.info/
Maldives,Elliott Inc,799,1974,New Robinton,Webb and Sons,Vega-Walker,Fusion,Operational,5797.260172,53486.67544,http://bean.com/
Algeria,"Wilson, Peterson and Butler",1982,1982,Billyport,"Armstrong, Moss and Brown",Brown Ltd,Fusion,Planned,842.5243063,79544.08917,https://hernandez.org/
Saint Kitts and Nevis,Powell and Sons,1363,2013,New Dakota,"Harrison, Williams and Martinez","Mcconnell, Elliott and Robinson",Fusion,Under Construction,4186.941429,42099.96429,https://www.levine.com/
Congo,Davis Ltd,1175,1977,Brianborough,Johnson-Dillon,"Smith, Evans and Pruitt",Nuclear,Operational,6785.025547,93195.96471,https://delgado-stewart.info/
Saint Martin,Washington Group,810,1972,South Scott,Andersen and Sons,Crane-Golden,Fusion,Operational,1385.860083,22491.48246,http://perry-mcneil.com/
United States Virgin Islands,"Maldonado, Lopez and Murphy",1870,2022,Stephensbury,Smith-Chavez,Rivera-Rosales,Nuclear,Operational,5292.143158,22555.3796,http://www.thompson.net/
Myanmar,Camacho and Sons,1177,1973,Jennifermouth,Moore-Phillips,"Duncan, Hudson and Adams",Nuclear,Under Construction,3139.946815,76977.35163,https://johnson.net/
Madagascar,"Ward, Guerrero and Morris",213,1982,Williamsmouth,Campbell Inc,Terry-Avila,Nuclear,Operational,6138.500858,26250.89496,https://mcbride.info/
Libyan Arab Jamahiriya,Clayton PLC,1936,2014,Lake Debra,Guerra Inc,Moreno-Smith,Nuclear,Planned,3393.292156,41484.67034,http://www.crosby.com/
Korea,Young Ltd,300,2001,Keithborough,Brown-Thomas,Robbins-Murphy,Nuclear,Operational,6074.831351,13405.04891,http://matthews.com/
Cayman Islands,Perez-Mcintyre,1510,2018,Kellyport,Larsen Inc,Farmer-Bass,Nuclear,Under Construction,6708.286176,10080.35101,http://www.turner.net/
Mauritania,"Love, Reynolds and Tucker",595,1980,Ashleyburgh,Patel-Scott,"Rodgers, Roberts and Peck",Nuclear,Operational,6790.069751,81213.2006,https://www.roach-parsons.com/
Norway,"Adams, Johnston and Bowers",1003,1979,New Jasontown,"Flores, Smith and Sanders",Bennett-Cruz,Fusion,Operational,9114.979104,89043.56171,https://wilson.com/
Bermuda,Baker-Parker,1882,2007,Jacobborough,Stanley-Smith,Gonzalez Inc,Nuclear,Planned,4629.352516,38079.36351,http://little.com/
Cook Islands,Peck-Ortiz,174,1994,Yatesmouth,"Cook, Peterson and Mills",Simon and Sons,Nuclear,Planned,3738.712864,60190.89585,https://mcneil.com/
Palestinian Territory,Olson LLC,1873,1995,Jenniferborough,Hartman LLC,Brown Group,Fusion,Operational,4932.83164,23890.90233,http://www.curtis.com/
Grenada,Farrell-Lowe,378,2018,Scottview,Hardy-Hester,Rice-Ruiz,Nuclear,Operational,561.9779249,31334.29178,https://www.armstrong-garcia.com/
Namibia,"Bradshaw, Simmons and Campbell",1823,1990,Maryville,Webb-Perkins,Melton Ltd,Fusion,Operational,1346.214343,66859.32167,https://www.burnett-hogan.com/
Afghanistan,"Cruz, Weeks and Zavala",204,2011,South Vincentberg,Bass-Dominguez,Evans Ltd,Fusion,Operational,5390.322055,24590.5496,https://www.giles.biz/
Montenegro,Flores Group,152,1993,Silvaborough,Ellis-Doyle,"Robinson, Miller and Cervantes",Fusion,Planned,5117.643906,35808.38845,http://www.lucas.info/
Cameroon,Brown Group,1082,1970,South Rhonda,Beck Ltd,Willis-Hunter,Nuclear,Operational,1955.223949,42551.03873,http://banks.com/
British Indian Ocean Territory (Chagos Archipelago),Howard-Cain,330,1977,Woodland,Glover-Bennett,Delgado-Morgan,Fusion,Planned,2026.000085,56695.55978,http://thomas-sweeney.com/
Georgia,Webb Ltd,297,2011,Nicoleland,Estrada-Ball,Wilson PLC,Fusion,Planned,9102.754366,19846.41146,http://www.kemp.biz/
Albania,Wright PLC,1434,2013,Port Corey,Lopez Group,Evans-Rodriguez,Fusion,Planned,2549.43443,28134.09035,https://jones.com/
Nauru,Jones LLC,1372,1982,West Brandonside,Poole-Lam,"Williams, Luna and Miller",Nuclear,Planned,8872.334047,43299.9489,http://buchanan.biz/
Timor-Leste,"Stuart, Scott and Matthews",608,1973,Mollymouth,Pierce-Barnes,"Wood, Herring and Boyle",Nuclear,Planned,3775.496977,97431.13057,http://ryan.org/
Palestinian Territory,Banks PLC,736,1989,Wilsonton,"Johnson, Cardenas and Cuevas",Yates-Burke,Fusion,Operational,3102.191716,75199.78963,http://lindsey-johnston.com/
Mayotte,"Collins, Owens and Rice",973,1970,Jessicaberg,"Garza, Reese and Moody",Henderson LLC,Fusion,Under Construction,5378.09936,91661.65378,http://richardson-martin.info/
Bangladesh,"Owen, Hopkins and Hood",1334,2018,North Kevin,Mcguire-Russell,Johnston and Sons,Nuclear,Operational,8760.673807,25737.60875,http://massey.org/
Grenada,Jackson-Briggs,904,2021,Wendyshire,"Taylor, Sanchez and Cochran","Jones, Drake and Woods",Fusion,Under Construction,9476.57558,61561.6845,https://www.roberts.com/
Ghana,Moon LLC,1805,1995,Powellfurt,Smith-Steele,Murphy-Gonzalez,Fusion,Planned,4421.748889,68222.96139,https://www.miller.com/
Hungary,White LLC,1576,1978,Lauraport,Hebert-Wells,Hutchinson-Ortega,Nuclear,Operational,5010.08582,74677.86994,http://www.miller.biz/
Solomon Islands,"White, Ellis and Harris",1552,1998,Lake Christopherland,"Johnson, Todd and Ruiz",Leonard-Anderson,Fusion,Under Construction,1628.02655,85550.69901,http://holmes-love.com/
Sierra Leone,Bell LLC,1366,2007,Williambury,Fisher-White,"Nelson, Rich and Jones",Fusion,Under Construction,9239.764899,41169.55336,http://www.pineda.info/
Norfolk Island,Mitchell-Henderson,167,1991,West Benjaminside,"Kennedy, Simmons and Gordon",Leach-Wood,Fusion,Planned,3698.672769,79262.8149,https://www.moore.com/
Eritrea,Fisher-Clark,1681,1991,Thomasshire,Cherry-Young,Johnson-Powell,Nuclear,Operational,5144.443134,13998.79504,http://brown.net/
Venezuela,Avila-Franklin,421,2010,West Michelle,Jones-Houston,"Henderson, Clark and Saunders",Fusion,Operational,4243.734507,57441.70024,https://www.brown.net/
Guinea,"Torres, Herring and Rocha",1576,2003,Jeremyton,Todd-Fernandez,Wilson-Curtis,Fusion,Under Construction,9610.971205,14567.27476,https://www.schultz.com/
United Arab Emirates,"Wright, Ortega and Carter",300,1986,Lake Tammy,Deleon Ltd,Cunningham-Mann,Nuclear,Planned,5772.976409,66358.23624,https://mcdonald.com/
El Salvador,Logan Inc,1177,1983,Breannaville,Edwards-Lawson,"Martin, Phelps and Coleman",Nuclear,Planned,6623.70842,33661.11384,http://www.jones.biz/
New Caledonia,"Tucker, Buck and Graves",639,2006,Chelseatown,Ruiz Inc,"Weber, Casey and Smith",Fusion,Operational,3915.471067,15822.36217,http://www.rodgers-holmes.net/
French Southern Territories,"Boyer, Bishop and Peck",1365,1992,Lake Joshuatown,Wilson Ltd,"Burns, Kidd and King",Fusion,Under Construction,8744.852844,35245.7441,http://wallace-figueroa.org/
Lao People's Democratic Republic,Farrell-King,257,1998,Port Brianna,Galvan Ltd,Greer Group,Fusion,Operational,3798.193822,83494.81092,http://meyer-dalton.com/
Guadeloupe,Reed Inc,821,2003,North Michael,"Freeman, Lynch and Clarke",Martinez Group,Nuclear,Planned,8084.928211,25973.25895,https://cunningham-brown.com/
Nepal,Davis Group,1361,1984,Port Tara,"Morgan, Hicks and Hall",Byrd Ltd,Fusion,Planned,9379.446986,48747.55741,http://avery.com/
Belarus,"Hammond, Rivas and Walters",1519,2012,Port Melissastad,Johnson-Thomas,James Group,Nuclear,Operational,1539.977986,97369.59518,https://www.good.com/
Gibraltar,"Cook, Huerta and Burton",624,1993,Mcmillanville,"Sanchez, Beck and Boone","Conway, Howard and Davidson",Fusion,Operational,8409.271897,31854.01053,http://www.marquez.com/
Serbia,Griffith and Sons,401,2012,East Angela,"Evans, Lee and Torres",Hamilton-Johnson,Nuclear,Planned,4760.402847,60575.16807,https://www.sparks.net/
Austria,Calhoun Group,1654,1976,Nicholasview,Miller-Larson,"Blake, Smith and Henson",Fusion,Operational,5460.211332,17239.30373,http://www.pennington.com/
Grenada,Hensley Group,877,1987,Kathleenchester,Rosario and Sons,Miller-Norman,Nuclear,Planned,7671.42946,54166.5234,http://roberts.biz/
Saudi Arabia,Morrison-Evans,834,2019,Brianview,Shea Inc,Barrett PLC,Fusion,Under Construction,3116.971828,12610.3814,https://www.weiss.com/
Croatia,"Arias, Weeks and Harris",1583,1990,Jeffreyton,"Mcintyre, Patel and Harris",Simmons-Valdez,Fusion,Operational,5128.468241,66467.4479,https://lewis.biz/
Ghana,Molina and Sons,200,2020,Aliciatown,Singleton-Smith,Baker Group,Nuclear,Under Construction,2951.755718,91111.28086,http://robinson.com/
Cook Islands,Fitzgerald-Valdez,146,1978,Danielborough,Smith-Lee,Ramirez Ltd,Fusion,Planned,3436.548576,88353.96905,https://www.levy.com/
Nicaragua,"Bridges, Warren and Thomas",496,1976,Timothyland,"Watson, Jones and Johnson",Hughes-Cooper,Fusion,Operational,9754.556635,77451.81772,http://chavez.com/
Chile,Morgan PLC,1588,1981,Hawkinsburgh,Doyle-Lopez,"Jones, Hodges and Campbell",Fusion,Planned,9891.015157,27914.21461,http://melton.net/
Bolivia,Jordan-Heath,1647,2022,Johnsonside,Cohen Ltd,"Anderson, Vega and Harris",Fusion,Under Construction,9177.043771,27738.7597,https://robinson.com/
Antarctica (the territory South of 60 deg S),"Montgomery, Taylor and Douglas",1055,2005,East Nicoleton,Howard-Goodwin,Stewart Ltd,Fusion,Operational,9491.808748,11660.57698,https://house.biz/
Kazakhstan,Downs-Harrison,1891,2003,North Frankborough,Campbell Inc,Gonzalez Group,Fusion,Planned,6659.090651,17712.46986,http://www.warren.com/
Saint Lucia,"Davis, Lopez and Estrada",1971,2008,Pattersonport,Meyer-Murray,Sloan LLC,Nuclear,Under Construction,971.9433318,54749.01481,https://combs.com/
Andorra,Chen Group,1294,2016,Spencerside,"Hudson, Lewis and West",Smith PLC,Nuclear,Operational,2493.484117,65844.85332,http://ryan-reyes.com/
Mauritania,Johnson LLC,303,2000,Lowestad,Lindsey-Berry,Johnson-Green,Fusion,Under Construction,1420.445675,68549.92081,https://www.griffith.biz/
Comoros,James PLC,1837,2016,Miguelshire,Murphy Inc,"Fitzpatrick, Fox and Anderson",Fusion,Operational,7313.174318,95998.37022,https://www.king.info/
Singapore,"Li, Thomas and Dickerson",1388,1981,New Kathleenchester,Garcia-Porter,"Cook, Roberts and Perez",Nuclear,Under Construction,5881.396289,89082.64646,https://davis-alexander.biz/
Palestinian Territory,"Cunningham, Moore and Campbell",1762,1973,Logantown,Davis-Daniels,Walters Ltd,Fusion,Under Construction,2980.326208,77097.23252,http://www.morris.com/
Turkey,"Peterson, Flores and Harmon",929,2000,Terriville,Castillo Group,Davenport-Gray,Nuclear,Under Construction,4088.206084,51088.12343,https://holmes.com/
